arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
aredis_om/model/model.py,funcao,_resolve_prefixed_field_name,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,resolve_value,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,resolve_redisearch_pagination,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,resolve_redisearch_sort_fields,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,_unwrap_negated_expression,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_resolve_left_query_fragment,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
aredis_om/model/model.py,funcao,_resolve_right_query_fragment,3,11,9,15,14,24,42.8086,91.3765,2.0455,186.9065,10.3837,0.0305
aredis_om/model/model.py,funcao,_resolve_redisearch_query,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_build_execute_args,5,16,11,21,21,32,75.6096,140.5542,3.2812,461.1933,25.6219,0.0469
aredis_om/model/model.py,funcao,_execute_command,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,_reset_model_cache_if_needed,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_collect_remaining_results,2,4,3,5,6,8,10.0,20.6797,1.25,25.8496,1.4361,0.0069
aredis_om/model/model.py,funcao,_handle_execute_results,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
aredis_om/model/model.py,funcao,_parse_execute_results,2,5,6,10,7,16,13.6096,44.9177,2.0,89.8354,4.9909,0.015
aredis_om/model/model.py,funcao,execute,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,get_query,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,first,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,count,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,all,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,page,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,sort_by,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,values,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,only,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,update,2,3,3,4,5,7,6.7549,16.2535,1.3333,21.6713,1.204,0.0054
aredis_om/model/model.py,funcao,delete,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__aiter__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__getitem__,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,get_item,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,_has_datetime_fields,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,create_pk,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__dataclass_transform__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,primary_key,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,sortable,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,case_sensitive,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,index,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,full_text_search,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,vector_options,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,expire,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,separator,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_ensure_params,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,initial_cap,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,block_size,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,m,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,ef_construction,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,ef_runtime,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,epsilon,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,flat,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,hnsw,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,schema,4,10,7,12,14,19,41.2193,72.3397,2.4,173.6154,9.6453,0.0241
aredis_om/model/model.py,funcao,Field,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__get__,4,9,5,10,13,15,36.5293,55.5066,2.2222,123.348,6.8527,0.0185
aredis_om/model/model.py,funcao,__set__,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,_capture_original_field_infos,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_allowed_config_kwargs,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/model/model.py,funcao,_build_meta,3,6,4,9,9,13,20.2647,41.209,2.25,92.7203,5.1511,0.0137
aredis_om/model/model.py,funcao,_set_index_config,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_model_fields,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_apply_field_proxies,7,17,10,21,24,31,89.1384,142.1338,4.3235,614.5198,34.14,0.0474
aredis_om/model/model.py,funcao,_setup_primary_key_accessor,5,11,5,12,16,17,49.6634,68.0,2.7273,185.4545,10.303,0.0227
aredis_om/model/model.py,funcao,_apply_embedded_model_rules,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_apply_meta_defaults,1,7,7,7,8,14,19.6515,42.0,0.5,21.0,1.1667,0.014
aredis_om/model/model.py,funcao,_register_indexed_model,4,8,4,8,12,12,32.0,43.0196,2.0,86.0391,4.78,0.0143
aredis_om/model/model.py,funcao,_filter_config_kwargs,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_finalize_new_class,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_validate_indexed_inheritance,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,__new__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,outer_type_or_annotation,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
aredis_om/model/model.py,funcao,should_index_field,4,13,7,16,17,23,56.1057,94.0116,2.4615,231.4133,12.8563,0.0313
aredis_om/model/model.py,funcao,_get_model_fields,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,check_datetime_schema_compatibility,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,key,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_delete,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,get,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,save,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
aredis_om/model/model.py,funcao,validate_pk,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/model/model.py,funcao,validate_primary_key,6,11,8,17,17,25,53.5635,102.1866,4.6364,473.7741,26.3208,0.0341
aredis_om/model/model.py,funcao,make_key,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,make_primary_key,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,db,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,find,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,from_redis,2,4,4,8,6,12,10.0,31.0196,2.0,62.0391,3.4466,0.0103
aredis_om/model/model.py,funcao,get_annotations,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,add,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_get_db,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,delete_many,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,redisearch_schema,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
